Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANTENNA_2450AT07A0100T,1,2450AT07A0100T,
"C1, C11, C16, C17, C2, C25, C26",0402,7,100nF,
"C10, C21, C22, C9",0402,4,12pF,
"C12, C23",0603,2,1µF,
"C13, C14, C15",0603,3,4.7µ,
C18,0402,1,820pF,
C19,0402,1,0.8pF,
C20,0402,1,0.5pF,
C24,0402,1,47nF,
C3,0603,1,1µF ±10% 10V X7R,
C4,0402,1,10µF,
C5,0402,1,1µF,
C8,0603,1,10uF,
IC1,BMI270,1,BMI270,
"J1, J2, J3",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,3,Conn_01x01,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,0402,1,"2,2µH",
L2,0402,1,4.7nH,
L5,0603,1,10µH,
L6,0402,1,15nH,
LED1,INS21AT5R,1,IN-S21AT5R,
"R1, R2",0402,2,5.1k,
"R3, R7, R8",0402,3,10k,
R4,0402,1,1M  %,
R6,0402,1,470,
"SW1, SW2",PTS820J20KSMTRLFS,2,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
U2,DSBGA8_YCK_TEX,1,BQ25188YBGR,
U3,YFP0008-C01-IPC_A,1,TPS62743YFPT,
Y1,CX2016FB32000D0FZZH1,1,32MHz,
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz,
