Designator,Mid X,Mid Y,Rotation,Layer
ANT1,119.9477,-75.948594,180.0,top
C1,110.9,-83.3,270.0,top
C10,116.82,-90.8,0.0,top
C11,113.8,-89.3,90.0,top
C12,113.3,-86.725,90.0,top
C13,118.5,-89.825,270.0,top
C14,120.0,-89.825,270.0,top
C15,123.5,-86.5,90.0,top
C16,123.7,-82.8,90.0,top
C17,121.8,-78.522282,180.0,top
C18,119.9,-78.514369,0.0,top
C19,117.936692,-78.535194,0.0,top
C2,111.5,-84.9,0.0,top
C20,118.409217,-75.964297,90.0,top
C21,113.9,-75.9,180.0,top
C22,116.0,-75.9,0.0,top
C23,108.3,-85.5,270.0,top
C24,108.0,-83.1,90.0,top
C25,113.1,-80.2,180.0,top
C26,129.7,-76.9,270.0,top
C3,121.6,-89.625,270.0,top
C4,123.3,-90.9,0.0,top
C5,125.0,-89.68,90.0,top
C8,124.9,-76.6,270.0,top
C9,115.0,-90.8,0.0,top
IC1,112.85,-82.738,270.0,top
J4,129.545,-83.25,90.0,top
L1,126.1,-76.9,90.0,top
L2,117.944606,-77.466889,0.0,top
L5,111.0,-86.2,180.0,top
L6,109.5,-84.6,270.0,top
LED1,131.3,-76.937,0.0,top
R1,123.7,-79.0,270.0,top
R2,123.7,-80.9,90.0,top
R3,109.5,-82.9,180.0,top
R4,109.98,-79.7,180.0,top
R6,132.9,-77.0,270.0,top
R7,109.5,-81.9,180.0,top
R8,109.5,-80.8,180.0,top
SW1,110.0,-77.4,0.0,top
SW2,110.025,-89.075,0.0,top
U1,118.640465,-83.548907,90.0,top
U2,123.2,-89.200075,0.0,top
U3,127.598594,-76.671536,180.0,top
Y1,115.0,-77.65,180.0,top
Y2,116.0,-89.2,180.0,top
